20 10 2 200
0 1 2 3 4 5 6 7 8 9
0 10
0 0 10
0 1 12
0 2 14
0 3 16
0 4 18
0 5 11
0 6 13
0 7 15
0 8 17
0 9 19
1 0 11
1 1 13
1 2 15
1 3 17
1 4 19
1 5 12
1 6 14
1 7 16
1 8 18
1 9 10
2 0 12
2 1 14
2 2 16
2 3 18
2 4 10
2 5 13
2 6 15
2 7 17
2 8 19
2 9 11
3 0 13
3 1 15
3 2 17
3 3 19
3 4 11
3 5 14
3 6 16
3 7 18
3 8 10
3 9 12
4 0 14
4 1 16
4 2 18
4 3 10
4 4 12
4 5 15
4 6 17
4 7 19
4 8 11
4 9 13
5 0 15
5 1 17
5 2 19
5 3 11
5 4 13
5 5 16
5 6 18
5 7 10
5 8 12
5 9 14
6 0 16
6 1 18
6 2 10
6 3 12
6 4 14
6 5 17
6 6 19
6 7 11
6 8 13
6 9 15
7 0 17
7 1 19
7 2 11
7 3 13
7 4 15
7 5 18
7 6 10
7 7 12
7 8 14
7 9 16
8 0 18
8 1 10
8 2 12
8 3 14
8 4 16
8 5 19
8 6 11
8 7 13
8 8 15
8 9 17
9 0 19
9 1 11
9 2 13
9 3 15
9 4 17
9 5 10
9 6 12
9 7 14
9 8 16
9 9 18
10 0 0
10 1 1
10 2 2
10 3 3
10 4 4
10 5 5
10 6 6
10 7 7
10 8 8
10 9 9
11 0 1
11 1 2
11 2 3
11 3 4
11 4 5
11 5 6
11 6 7
11 7 8
11 8 9
11 9 0
12 0 2
12 1 3
12 2 4
12 3 5
12 4 6
12 5 7
12 6 8
12 7 9
12 8 0
12 9 1
13 0 3
13 1 4
13 2 5
13 3 6
13 4 7
13 5 8
13 6 9
13 7 0
13 8 1
13 9 2
14 0 4
14 1 5
14 2 6
14 3 7
14 4 8
14 5 9
14 6 0
14 7 1
14 8 2
14 9 3
15 0 5
15 1 6
15 2 7
15 3 8
15 4 9
15 5 0
15 6 1
15 7 2
15 8 3
15 9 4
16 0 6
16 1 7
16 2 8
16 3 9
16 4 0
16 5 1
16 6 2
16 7 3
16 8 4
16 9 5
17 0 7
17 1 8
17 2 9
17 3 0
17 4 1
17 5 2
17 6 3
17 7 4
17 8 5
17 9 6
18 0 8
18 1 9
18 2 0
18 3 1
18 4 2
18 5 3
18 6 4
18 7 5
18 8 6
18 9 7
19 0 9
19 1 0
19 2 1
19 3 2
19 4 3
19 5 4
19 6 5
19 7 6
19 8 7
19 9 8
